[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 4120.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 1035.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 5920.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 6860.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 8950.0 :  
[2021-08-10 20:59:49,463] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 2535.0 :  
[2021-08-10 20:59:49,479] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 1265.0 :  
[2021-08-10 20:59:49,479] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 2785.0 :  
[2021-08-10 20:59:49,479] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3300.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 1670.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 2280.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 1625.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 3600.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 4470.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 17900.0 :  
[2021-08-10 20:59:49,486] I BACKTEST_quarter_mysql.py | finance_data-back_test_Beta-0076 I DEBUG    > 3216500.1303559435 / 2040.0 :  
